Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
GDP (constant 2015 US$),NY.GDP.MKTP.KD,North America,NAC,10694199004554.4,14924750205331.9,18839846040250.5,19279201226044.6,19769184098217.1,20088307468491.7,20551306709011.8,21153663404440.2,21632122771354.5,20993983653463.6,22226956457404.8,22707810012901.5
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Not classified,INX,..,..,..,..,..,..,..,..,..,..,..,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,OECD members,OED,27917028743410.8,36710501672614.7,45336016410088.7,46284924393997.8,47411160772825.3,48278076897418.6,49482546798904.4,50649430968633.9,51525982703145.5,49354976881795.6,52056443621880.2,53501765223595.4
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Other small states,OSS,..,158577335067.782,345893642617.892,359214392416.727,370450170724.575,381496001935.243,386546751972.586,395092346522.716,403729687292.71,384112018040.417,399385194623.193,416916572362.139
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Pacific island small states,PSS,5037523643.24074,6406648375.65894,8436480831.66428,8741690690.80042,9054327014.3613,9384641315.199,9759053162.43526,10035155075.4459,10136765111.8165,9094654532.75045,8770148473.95515,9327846355.65497
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Post-demographic dividend,PST,26855251955387.2,34954515712570.3,42832650730167.4,43653076878202.2,44585851713476,45365815329501.6,46437913143716.1,47487255740198,48289993252046.4,46155532167637.6,48563982314918.1,49736472023873.7
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Pre-demographic dividend,PRE,482044001265.629,622181096529.204,1229986534427.87,1292508163414.19,1334011121882.86,1366320077018.21,1387990046261.71,1422198860344.23,1467675353572.17,1430769362435.11,1473655939113.26,1532590344563.45
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Small states,SST,..,218184994223.615,428035794973.788,443237529297.603,454984827185.882,465022963699.109,470051325495.994,479813893803.741,489170391319.964,461599650014.807,480488358724.306,507687526353.181
GDP (constant 2015 US$),NY.GDP.MKTP.KD,South Asia,SAS,654293636542.177,1091284292694,2356463128514.75,2519969182550.67,2704835939982.51,2912627949053.75,3102735447220.06,3299270106528.77,3429266120380.17,3269411346139.36,3539724088126.7,3768762948200.21
GDP (constant 2015 US$),NY.GDP.MKTP.KD,South Asia (IDA & IBRD),TSA,654293636542.176,1091284292694,2356463128514.75,2519969182550.67,2704835939982.51,2912627949053.75,3102735447220.06,3299270106528.77,3429266120380.17,3269411346139.36,3539724088126.7,3768762948200.21
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Sub-Saharan Africa,SSF,671039020218.192,831000131306.662,1572170586960.89,1648637196962.12,1695993210500.23,1717586453349.58,1759533924884.93,1806123928569.97,1852936238533.34,1815795344964.75,1891577622285.15,1959063791008.89
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Sub-Saharan Africa (excluding high income),SSA,670419046452.152,830031156641.536,1570887321982.8,1647301784050.18,1694601782532.9,1716123995394.07,1758030752907.92,1804564997415.89,1851301279145.6,1814301796589.92,1890003422298.07,1957351061420.24
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Sub-Saharan Africa (IDA & IBRD countries),TSS,671039020218.192,831000131306.662,1572170586960.89,1648637196962.12,1695993210500.23,1717586453349.58,1759533924884.92,1806123928569.97,1852936238533.34,1815795344964.75,1891577622285.15,1959063791008.89
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Upper middle income,UMC,5734986923322.82,8332535119849.79,18778047658144,19666628212240.5,20518584369299,21394664756231.4,22512359920326.5,23627376774609.7,24603357016127,24444584185469.6,26283199094472.5,27096727551877.2
GDP (constant 2015 US$),NY.GDP.MKTP.KD,World,WLD,35999470458326.4,48362985111660.6,70789832142469.1,72965579791259.5,75215062596594.9,77327576132182,79948876884303.4,82577635755838.6,84720153872486.6,82117359707107.6,87063955702677.2,89745805690958.1
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 06/29/2023,,,,,,,,,,,,,,,
